Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Francisco YrigoyenM30-34,PE,#373,44,301,349,50:05:00,4:09:14,2:20:03,7:33:10,70.3
Marcos Javier PaniaguaM45-49,AR,#541,57,276,318,43:42:00,3:34:21,2:36:32,7:09:50,74.7
Sergio LoriaM50-54,AR,#567,10,85,96,34:34:00,3:02:26,1:43:44,5:29:18,93.3
Sebastian AsquinaziM45-49",AR,#122,1,14,15,28:38:00,2:35:01,1:30:02,4:37:57,99.5
Alejandro IthurriagueM50-54",AR,#235,3,54,59,32:54:00,2:53:20,1:35:54,5:07:47,97.2
Sebastian CarellaM35-39,AR,#637,15,71,79,34:44:00,2:58:51,1:43:12,5:22:03,89.1
Luciano AgostiniM30-34,AR,#354,13,58,63,33:47:00,2:55:58,1:36:34,5:11:53,90.9
Rodrigo RuizM25-29,AR,#323,8,249,281,42:47:00,3:35:08,2:19:29,6:46:03,79.8
Gaston RosettiM40-44,AR,#103,57,324,379,59:34:00,4:07:38,2:35:55,8:29:58,64.3
Tomas Javier BraccoM40-44,AR,#484,17,115,131,43:06:00,3:03:33,1:49:01,5:43:52,84.9
Ariel BarriosM40-44,AR,#460,51,293,341,51:10:00,3:49:07,2:30:42,7:25:29,71
Marcelo ArtunguiM35-39,BR,#414,31,157,177,38:34:00,3:17:32,1:50:14,5:58:29,83.1
Rina FayF35-39",AR,#135,2,18,141,38:42:00,3:10:37,1:50:13,5:46:18,94.1
Mauricio VillaplanaM35-39,AR,#436,12,59,64,33:03:00,2:50:49,1:39:53,5:12:45,90.8
Diego GuevaraM25-29,AR,#308,9,257,292,44:15:00,3:42:19,2:17:51,6:53:41,78.8
Carla IannarelliF35-39",AR,#136,1,6,65,34:47:00,3:01:19,1:30:50,5:13:12,100
Martin GallardoM18-24",AR,#305,3,24,27,35:21:00,2:37:53,1:27:53,4:47:17,98.1
Tim ReaMPRO",AU,#8,2,2,2,26:24:00,2:21:08,1:18:08,4:09:14,98.3
