Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Anibal MontesM35-39,AR,#328,76,333,366,32:38:00,2:47:15,1:47:48,5:13:46,88.1
Nicolas ArballoM40-44,AR,#233,47,186,201,32:36:00,2:30:38,1:45:28,4:53:45,92.6
Pablo Gabriel RomasantaM35-39,AR,#683,135,603,691,34:03:00,3:01:50,1:59:00,5:46:36,82.6
Carito NocedaF45-49,AR,#449,10,55,461,38:12:00,2:51:00,1:46:29,5:20:36,96.1
Gustavo AlasinoM45-49,AR,#1378,118,737,862,18:59:00,2:48:13,2:29:21,6:07:11,80.8
Matias ArellanoM40-44,AR,#1388,115,468,538,36:54:00,2:45:39,1:58:54,5:28:31,86.3
Damian Ezequiel BergaM35-39,AR,#643,182,874,1056,53:35:00,3:20:04,2:35:30,6:57:05,73
Gabriel Leonardo MartiM45-49,AR,#932,96,646,746,38:53:00,2:53:40,2:09:34,5:52:05,83.1
Silvia Noemi ParedesF60-64",AR,#489,2,180,1043,47:58:00,3:24:36,2:28:41,6:49:26,97.3
Francisco Ugarte RozbaczyloM45-49,CL,#213,37,285,311,10:11:00,2:37:29,1:49:45,5:07:29,90.6
Veronica EtchegarayF45-49,AR,#1293,5,41,396,37:12:00,2:51:44,1:42:30,5:16:01,96.9
Rebeca Falconi Catta PretaF30-34,BR,#381,6,24,294,29:30:00,2:39:25,1:53:06,5:06:09,93.6
José Pablo DapenaM45-49,AR,#991,132,814,974,55:41:00,3:15:29,2:05:48,6:29:50,77.6
Fernanda GrossiF25-29",BR,#310,2,19,246,29:18:00,2:37:28,1:47:45,4:59:22,98.3
Fernando Fabian TorresM45-49,AR,#957,150,896,1083,1:01:01,3:16:23,2:45:18,7:15:05,72
Carlos Miguel MartinezM55-59,AR,#1095,42,856,1034,50:16:00,3:12:19,2:34:33,6:47:41,77.7
Saeed ZoairM25-29,EG,#1167,46,759,890,39:04:00,2:44:10,2:43:25,6:11:48,79.2
Pablo Maximiliano PradoM35-39,AR,#756,128,571,653,39:53:00,2:45:59,2:11:16,5:42:04,83.4
Diego PiliavskyM35-39,AR,#264,89,368,411,29:13:00,2:42:59,1:56:17,5:16:54,87.5
William GracaM25-29",BR,#158,1,17,18,4:22:00,2:19:32,1:24:10,4:15:21,99.6
Federico Luis QuirogaM30-34,AR,#574,58,395,446,36:00:00,2:42:14,1:55:15,5:19:20,88.2
Martin BellabarbaM35-39,AR,#642,7,31,35,34:09:00,2:19:00,1:25:18,4:23:09,98
Miguel Angel MondinoM55-59,AR,#1089,19,488,560,39:48:00,2:42:51,2:03:35,5:31:18,88.8
German De LucaM35-39,AR,#720,168,785,929,37:41:00,3:13:57,2:18:25,6:19:30,77.8
Maurren Sarcos ValdiviaM40-44,VE,#864,166,688,798,41:54:00,2:52:26,2:18:33,5:58:16,81.6
Lucas Xavier LeguizamonM30-34,AR,#1381,9,81,88,32:17:00,2:25:43,1:33:48,4:36:12,96.5
Maximiliano RidoszM35-39,AR,#682,161,745,872,40:21:00,3:02:32,2:13:26,6:08:32,79.4
