Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Andrea Guzman GomezF18-24,CO,#540,24,267,1481,35:11:00,3:40:16,2:29:17,6:52:52,84.7
Paula Andres RodriguezF18-24,CO,#552,28,365,1724,51:49:00,3:50:38,2:45:56,7:35:30,79.5
Laura CastroF18-24",CO,#534,2,39,410,32:16:00,3:01:40,1:50:38,5:31:56,96.7
Antonia Velez LebrunF18-24,CO,#556,9,108,847,42:00:00,3:03:34,2:10:03,6:00:33,92
Natalia RodriguezF18-24,CO,#551,25,296,1573,39:45:00,3:32:24,2:42:12,7:05:09,83.1
Mariana RuedaF18-24,CO,#553,7,99,805,42:47:00,2:59:24,2:06:38,5:57:26,92.5
Juliana Villamizar DiazF18-24,CO,#557,5,76,709,43:17:00,2:53:19,2:06:08,5:51:23,93.5
Jessica Alejandra Porras GuzmanF18-24,CO,#546,14,158,1110,39:15:00,3:16:05,2:15:33,6:18:28,89.4
Maria Camila FlorezF18-24,CO,#537,19,220,1327,36:08:00,3:26:02,2:28:14,6:36:53,86.8
Mariana Estrada GómezF18-24,CO,#535,23,254,1443,47:42:00,3:20:59,2:23:44,6:48:05,85.3
Erika Yesenia Suárez PachónF18-24,CO,#555,4,72,690,51:56:00,2:55:28,1:56:35,5:50:04,93.7
Fabiana SciontiF18-24,US,#2119,20,222,1340,52:14:00,3:16:26,2:16:06,6:38:06,86.6
Mariana ValenciaF18-24,US,#2120,8,106,842,47:10:00,3:06:17,1:57:09,6:00:25,92.1
Sofia GaviriaF18-24,CO,#2098,13,145,1048,45:52:00,2:56:20,2:20:33,6:13:36,90.1
Maria Camila Muñoz LozadaF18-24",CO,#543,1,20,230,36:30:00,2:41:36,1:50:52,5:14:33,99.7
Daniela Guevara BetancurF18-24,CO,#539,10,116,904,37:24:00,3:08:06,2:09:33,6:04:07,91.5
María José MorenoF18-24,CO,#175,6,87,747,52:08:00,2:55:19,1:57:56,5:53:36,93.1
Sara AngelF18-24,CO,#532,11,121,938,44:11:00,2:52:12,2:21:45,6:06:07,91.2
Maria Paula Gallego BedoyaF18-24,CO,#538,12,130,966,41:38:00,3:00:20,2:19:21,6:07:53,90.9
Ana María CadavidF18-24,CO,#533,16,174,1169,54:40:00,3:08:11,2:14:03,6:24:20,88.5
Laura Vanessa Solis ZamoraF18-24,CO,#554,21,247,1418,51:35:00,3:04:23,2:35:47,6:45:15,85.7
Laura HernandezF18-24,CO,#541,17,193,1231,49:08:00,3:12:21,2:17:38,6:28:24,88
Daniela Prada ArenasF18-24,CO,#547,26,316,1619,40:38:00,3:49:44,2:32:20,7:12:54,82.1
Enya EstradaF18-24",CO,#244,3,63,664,33:50:00,2:58:00,2:11:29,5:48:26,93.9
Catalina Ramirez BonillaF18-24,CO,#548,15,172,1159,48:00:00,3:15:31,2:10:43,6:22:42,88.8
Laura Recamán RamirezF18-24,CO,#549,22,251,1430,39:26:00,3:20:26,2:37:20,6:46:48,85.5
Valerie Dayana ValerieF18-24,GT,#536,27,344,1689,46:35:00,3:58:39,2:29:19,7:27:00,80.5
Sofia Villanueva RF18-24,CO,#558,18,215,1312,51:53:00,3:22:36,2:06:50,6:35:29,87
Maria Del Mar CarreñoF25-29,CO,#568,61,308,1597,55:19:00,3:25:34,2:37:10,7:08:18,77.6
Gabriela GrisalesF25-29,CO,#586,8,29,333,36:49:00,2:55:49,1:47:13,5:25:27,92.9
Christel Ayala VanegasF25-29,CO,#565,39,187,1207,47:34:00,2:58:34,2:33:03,6:26:59,83.1
Daniela Gallo LopezF25-29,CC,#256,67,368,1730,48:59:00,3:28:40,3:05:01,7:38:27,74
Pamela Escudero Del CastilloF25-29,CO,#577,66,366,1727,44:28:00,3:35:26,3:08:18,7:37:23,74.2
Yudy Lorena MuñozF25-29,CO,#600,58,298,1575,54:02:00,3:12:31,2:47:36,7:05:24,78
Nathalia ArteagaF25-29,CO,#562,56,275,1516,49:38:00,3:19:05,2:35:38,6:57:02,79
Johana Santiago CarmonaF25-29,CO,#616,54,273,1496,44:27:00,2:56:27,3:07:01,6:54:54,79.3
Adriana Patricia Diaz VianaF25-29,CO,#329,52,258,1463,52:23:00,3:37:34,2:13:42,6:50:16,79.9
Lea RiccoboniF25-29",FR,#609,3,12,132,34:58:00,2:37:35,1:44:36,5:02:13,97.2
Nathalia Giraldo RamírezF25-29,CO,#582,37,185,1200,48:33:00,2:59:50,2:27:35,6:26:18,83.2
Angie Ospina CarvajalF25-29,CO,#602,53,262,1474,48:24:00,3:12:11,2:41:01,6:51:54,79.7
Manuela Rodriguez MontoyaF25-29,CO,#611,30,144,1044,47:40:00,3:08:50,2:04:34,6:13:04,85.1
Diana Carolina Avendaño BarbosaF25-29,CO,#563,46,216,1318,46:17:00,3:05:26,2:32:55,6:35:58,81.8
Rosita Chavez GalazF25-29,CL,#176,21,119,927,50:07:00,3:03:40,2:00:38,6:05:09,86.3
Bettina MieryF25-29,CO,#594,35,164,1124,44:57:00,2:58:41,2:23:35,6:19:52,84.1
Wendy CervantesF25-29,GB,#571,27,139,1017,41:32:00,2:59:12,2:22:07,6:11:02,85.4
Dayana Orozco MirandaF25-29,CO,#601,17,70,686,37:58:00,2:59:18,2:06:24,5:49:52,88.7
Tatiana Rojas SanchezF25-29,CO,#614,38,186,1205,51:53:00,3:05:36,2:21:33,6:26:29,83.2
Cristina Lopez GarzonF25-29,CO,#354,18,75,700,43:57:00,3:00:24,1:59:13,5:50:35,88.6
Laura Bravo PavaF25-29,CO,#566,40,195,1240,48:46:00,3:00:16,2:31:03,6:29:12,82.8
Juanita SalgadoF25-29,CO,#459,15,54,568,45:15:00,2:42:36,2:08:24,5:41:24,90.1
Gabriela GonzalezF25-29,CO,#584,16,58,634,45:47:00,2:59:17,1:53:55,5:46:29,89.3
Juliana HenaoF25-29,CO,#587,70,379,1752,1:04:33,3:46:13,2:41:10,7:44:42,73.3
Daniela MoralesF25-29,CO,#597,69,376,1747,1:01:29,3:41:57,2:50:22,7:43:16,73.5
Eliana Morales AlbaF25-29,CO,#598,42,206,1285,58:57:00,3:13:40,2:11:33,6:32:58,82.2
Natalia Ochoa PérezF25-29,CO,#177,14,50,530,35:55:00,2:51:29,2:06:40,5:39:11,90.5
Dorancy González RúaF25-29,CO,#583,13,45,499,50:56:00,2:36:16,2:00:12,5:37:20,90.8
Isabel ArboledaF25-29,CO,#560,24,128,960,37:18:00,3:10:03,2:09:40,6:07:19,86
Paulina velasquezF25-29,CO,#619,11,40,422,37:22:00,2:41:48,2:06:47,5:32:35,91.6
Alejandra Alzate AlzateF25-29,CO,#559,43,207,1295,1:01:17,3:21:57,2:03:04,6:33:56,82.1
Paula Alejandra Montaño RodríguezF25-29,CO,#596,4,18,214,34:28:00,2:36:26,1:55:50,5:12:15,95.3
Cindy Jiménez MartínezF25-29,CO,#2037,34,162,1118,49:50:00,2:55:06,2:26:01,6:19:21,84.2
Paola GarciaF25-29,MX,#581,28,142,1035,41:34:00,2:57:44,2:26:50,6:12:28,85.2
Camila Estrada GómezF25-29,CO,#578,55,274,1510,38:34:00,3:22:24,2:43:03,6:56:53,79
Isabela CortesF25-29,CO,#572,19,91,773,54:49:00,2:53:20,1:59:30,5:55:32,87.8
Camila Cruz CapachoF25-29,CO,#573,45,211,1304,50:05:00,3:14:08,2:20:04,6:34:52,82
Vanessa Mosquera MurilloF25-29,CO,#599,68,369,1731,55:54:00,3:25:07,3:02:17,7:38:39,74
Susana Torres ArenasF25-29,CO,#618,26,135,997,51:56:00,3:00:21,2:11:35,6:09:55,85.6
Andrea Rodriguez SanabriaF25-29,CO,#612,49,234,1364,50:34:00,3:06:50,2:31:53,6:40:43,81.2
Daniela Ivana Russi RussiF25-29,CO,#258,41,204,1280,41:59:00,3:18:14,2:22:09,6:32:41,82.3
Paola Andrea Lopez EspitiaF25-29,CO,#588,22,126,953,41:16:00,3:19:41,1:59:37,6:07:03,86
Melissa RinconF25-29,CO,#610,71,385,1770,52:35:00,3:47:06,3:04:05,7:56:34,72
Maria Paula Aparicio CuervoF25-29,CO,#344,36,175,1170,42:43:00,2:53:41,2:36:46,6:24:23,83.5
Juanita Mejia FlorezF25-29,CO,#590,60,306,1593,57:04:00,3:19:37,2:39:33,7:07:22,77.7
Lina MercadoF25-29,CO,#592,25,133,985,48:55:00,2:51:25,2:17:57,6:09:16,85.7
Andrea RojasF25-29,CO,#613,33,161,1116,44:46:00,3:06:49,2:20:38,6:18:57,84.2
Andrea Restrepo JaramilloF25-29,CO,#608,47,217,1319,52:36:00,3:05:42,2:28:12,6:36:00,81.8
Magdalena BurgstallerF25-29,AT,#567,12,41,426,36:50:00,2:56:03,1:52:04,5:32:49,91.6
Tatiana Ossa JimenezF25-29,CO,#495,63,323,1635,44:09:00,3:52:08,2:25:10,7:16:28,76.6
Camila Ayala GomezF25-29,CO,#564,31,150,1079,50:39:00,3:23:28,1:52:14,6:16:14,84.6
Ana Maria Manrique LenisF25-29",CO,#453,1,7,83,29:53:00,2:38:28,1:38:21,4:51:50,99.3
Laura FajardoF25-29,CO,#579,62,312,1606,52:27:00,3:34:09,2:34:07,7:10:01,77.4
Laura Ortiz GiraldoF25-29,CO,#2100,10,36,388,33:31:00,2:51:50,1:59:21,5:30:06,92.1
Natalia SalcedoF25-29,CO,#615,6,24,288,46:48:00,2:37:45,1:49:57,5:19:51,93.9
Daniela Puerta PadillaF25-29,CO,#606,48,230,1357,47:52:00,3:24:49,2:16:50,6:40:15,81.2
Karen Dayana Gordillo CorreaF25-29,CO,#585,7,25,305,37:57:00,2:41:28,1:57:15,5:21:57,93.5
Paula QuinonesF25-29,CO,#607,64,333,1657,46:59:00,3:26:49,2:55:24,7:20:32,76.1
Andrea Carolina Archila RodriguezF25-29,CO,#561,20,94,785,49:43:00,3:00:35,1:58:19,5:56:29,87.7
Sharon Daniela Galvez BermudezF25-29,CO,#580,32,152,1090,37:21:00,3:12:39,2:18:20,6:17:05,84.5
Camila PérezF25-29,CO,#604,65,341,1684,1:00:33,3:39:13,2:31:55,7:25:48,75.5
Daniella VallejoF25-29,CO,#389,29,143,1039,32:10:00,3:05:15,2:29:09,6:12:53,85.1
María José Mercado DíazF25-29,CO,#593,5,23,277,49:39:00,2:43:51,1:38:29,5:18:53,94.1
