Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Marcio FerreiraM55-59",BR,#1629,1,47,49,29:55:00,2:23:09,1:26:02,4:24:34,100
Leonardo CurveloPC",BR,#151,1,686,749,40:25:00,2:45:31,1:53:41,5:25:23,
Claudia DumontF40-44",BR,#1365,1,5,132,28:36:00,2:35:51,1:30:41,4:40:39,99.8
Matheus Salto MartiniM25-29",BR,#1557,1,15,15,24:20:00,2:19:18,1:23:46,4:12:11,100.2
Luciano MirandaM45-49",BR,#333,1,69,71,32:21:00,2:20:29,1:29:26,4:28:26,99.6
Fernanda Angotti CucoloF35-39",BR,#1304,1,8,279,29:54:00,2:43:30,1:37:21,4:55:59,99.4
Frederico LeserM18-24",BR,#1465,1,88,90,28:38:00,2:25:49,1:26:16,4:31:33,99.4
Mireia MasipF30-34",ES,#1197,1,6,165,32:32:00,2:33:09,1:34:50,4:46:09,99.7
Morone Miguel NetoM35-39",BR,#544,1,9,9,28:20:00,1:42:30,1:49:07,4:04:09,102.4
Bruno MonteiroM30-34",BR,#1086,1,24,24,26:16:00,2:23:19,1:22:42,4:17:32,99.9
Augusto Cesar PocasM50-54",BR,#360,1,56,58,30:49:00,2:22:43,1:27:55,4:26:21,99.8
Igor AmorelliMPRO",BR,#1,1,1,1,23:50,2:02:02,1:17:10,3:46:21,99.6
Nathália MeloF25-29",BR,#1180,1,7,267,29:24:00,2:40:17,1:40:38,4:55:26,99.5
Adolfo José Mariano De OliveiraM60-64",BR,#1677,1,350,363,40:03:00,2:33:40,1:41:10,5:01:36,99.6
Pâmella OliveiraFPRO",BR,#20,1,1,27,25:54:00,2:21:55,1:26:51,4:18:34,99.7
Roberto SenaM65-69",BR,#1701,1,1034,1219,43:56:00,3:06:13,2:03:38,6:13:48,100
Aida MilinarskyF70-74",CL,#1431,1,253,1398,51:46:00,3:47:20,3:08:09,7:59:06,100
Taynara Bonetti Da SilveiraF18-24",BR,#1146,1,37,530,28:41:00,2:47:04,1:51:16,5:12:18,99.1
Arthur FerrazM40-44",BR,#799,1,11,11,25:10:00,2:16:37,1:22:48,4:08:47,101.1
Ana Lúcia Bertholdi PiacentiniF60-64",BR,#1430,1,249,1393,45:24:00,3:38:06,3:02:19,7:35:35,100
Vanuza MacielF45-49",BR,#1396,1,13,357,34:43:00,2:38:24,1:41:02,5:00:48,99.6
Marilza Candida SaldanhaF50-54",BR,#1419,1,90,889,35:03:00,3:02:21,1:52:11,5:37:10,99.5
Ana Silvia Davini PallerF55-59",BR,#1420,1,77,810,37:42:00,2:45:31,1:54:35,5:30:28,99.8
rafael piresM18-24",BR,#1464,2,110,112,36:18:00,2:26:22,1:27:48,4:37:03,98.2
Conceicao Aparecida Rocha De Petribu FariaF55-59",BR,#1424,2,186,1220,44:25:00,3:13:30,2:05:48,6:14:01,92.5
Solange DainezF50-54",BR,#1417,2,114,970,38:16:00,3:00:00,1:55:29,5:44:07,98.3
Rodrigo TaddeiM45-49",BR,#472,2,71,73,27:56:00,2:24:05,1:30:17,4:29:08,99.5
Sofia Mazon GonçalvesF45-49",BR,#1381,2,19,422,32:33:00,2:40:26,1:45:41,5:05:11,98.8
Denise FiorioF40-44",BR,#1372,2,12,334,32:57:00,2:40:29,1:40:18,4:58:42,96.2
Marcos CalcicM35-39",BR,#1129,2,10,10,27:31:00,2:14:35,1:17:45,4:05:38,102.1
William FrancoPC",BR,#1025,2,982,1136,44:24:00,2:57:56,2:11:59,6:03:30,
Bruno KhouriM40-44",BR,#1710,2,18,18,27:21:00,2:16:27,1:27:21,4:15:06,99.7
Alejandro Rodriguez ComasM60-64",BR,#1695,2,409,431,35:00:00,2:37:35,1:45:22,5:05:37,98.9
Leonardo Campos MoreiraM50-54",BR,#386,2,112,114,30:18:00,2:30:24,1:31:37,4:37:07,97.6
William GracaM25-29",BR,#1553,2,16,16,28:36:00,2:15:43,1:24:58,4:13:46,99.8
Amilcar F AltemaniM55-59",BR,#1609,2,161,167,30:29:00,2:28:36,1:41:18,4:46:12,95.4
Schirlei CasasF30-34",BR,#1201,2,9,284,33:43:00,2:39:17,1:37:33,4:56:08,97.8
João CostaM30-34",BR,#1081,2,26,26,28:44:00,2:21:28,1:22:22,4:18:21,99.7
Yvan JarrigeMPRO",FR,#6,2,2,2,24:02:00,2:10:22,1:12:07,3:49:45,98.8
Bruna StolfF18-24",BR,#1151,2,44,578,32:42:00,2:53:43,1:42:13,5:14:59,98.6
Larissa Lazzarini FurlanF25-29",BR,#1156,2,10,307,31:29:00,2:44:09,1:36:38,4:57:23,99.1
Flavia BeliniF35-39",BR,#1293,2,16,387,33:14:00,2:40:44,1:44:06,5:02:57,98.1
Luíza CravoFPRO",BR,#25,2,2,35,27:47:00,2:26:30,1:22:53,4:21:06,99.2
Bruno MatheusMPRO",BR,#7,3,3,3,23:45,2:10:32,1:14:10,3:51:38,98.3
Gisele BertucciFPRO",BR,#22,3,3,117,27:40:00,2:32:54,1:33:15,4:37:58,95.8
Patricia Berenstein PereiraF35-39",BR,#1307,3,23,437,37:45:00,2:39:18,1:42:04,5:06:01,97.6
Patricia Axer Vieira BatistaF50-54",BR,#1411,3,124,1011,43:22:00,2:53:36,2:01:32,5:48:04,97.7
Eduardo Vani FernandesM45-49",BR,#288,3,78,80,28:03:00,2:21:16,1:35:07,4:30:13,99.2
Lisandra Mesquita BatistaF40-44",BR,#1329,3,17,396,35:14:00,2:47:08,1:34:56,5:03:39,95.3
Luiza SantosF18-24",BR,#1149,3,86,862,32:05:00,2:40:36,2:11:16,5:34:33,95.4
Brasilio Vicente De Castro NetoM35-39",BR,#777,3,14,14,25:38:00,2:17:33,1:22:18,4:10:35,100.9
Claudemir CassamassoM55-59",BR,#1687,3,215,221,33:22:00,2:33:20,1:38:39,4:51:29,94.4
Clodoaldo OliveiraM40-44",BR,#338,3,19,19,30:03:00,2:20:38,1:20:30,4:15:31,99.6
Maria Cecília BarbosaF30-34",BR,#1239,3,11,332,34:45:00,2:37:19,1:40:25,4:58:30,97.4
Carlos Roberto Dos SantosM60-64",BR,#1686,3,433,459,35:32:00,2:38:26,1:46:32,5:07:51,98.5
Guilherme cunhaM30-34",BR,#1704,3,27,28,27:59:00,2:19:42,1:27:07,4:18:44,99.6
Gabriela MoraesF25-29",BR,#1160,3,26,454,26:03:00,2:49:36,1:46:09,5:07:20,97.3
Inês BarbosaF55-59",BR,#1427,3,192,1232,48:58:00,2:57:15,2:19:59,6:15:25,92.3
Claudinei Simoes PiresM50-54",BR,#1649,3,134,139,--:--,--:--,--:--,4:43:02,96.4
Yuri YoshidaM18-24",BR,#1453,3,137,142,32:35:00,2:31:09,1:34:04,4:43:23,97
Sandra KawasakiF45-49",BR,#1408,3,33,519,33:39:00,2:45:17,1:46:22,5:11:36,97.6
Ranniery Camilo DamacianoM25-29",BR,#1495,3,17,17,27:09:00,2:16:58,1:26:29,4:14:58,99.5
Isadora Miato AndreattiF18-24,BR,#1153,4,171,1172,38:06:00,3:10:31,2:09:25,6:07:09,90.6
Lino Henrique NardinM25-29,BR,#1474,4,33,34,31:10:00,2:20:06,1:23:26,4:20:09,98.4
Pamela Lo DucaF30-34,BR,#1157,4,15,386,34:50:00,2:37:17,1:44:28,5:02:48,96.6
