Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Daniela CisternasF18-24,CL,#1098,4,147,897,44:11:00,3:11:51,2:15:30,6:17:17,82.9
Taynara Bonetti Da SilveiraF18-24,BR,#1102,3,32,407,30:51:00,2:50:39,1:58:50,5:24:05,91.8
Gabriela Quass FederighiF18-24,BR,#1099,6,199,1056,41:31:00,3:22:44,2:37:43,6:50:37,78.2
Julia IglesiasF18-24,BR,#1100,1,3,98,30:22:00,2:31:06,1:39:38,4:43:44,100
Leticia Gois AvansiF18-24,BR,#1101,7,231,1144,47:49:00,3:41:39,2:50:03,7:28:43,73.4
Bruna StolfF18-24,BR,#1097,2,25,358,32:43:00,2:45:00,1:57:55,5:19:40,92.7
Isabel Lobo MonteiroF18-24,BR,#1381,5,157,928,45:10:00,2:54:22,2:33:18,6:21:25,82.3
Dhan ClaesF25-29,BE,#1106,11,97,742,38:04:00,2:54:10,2:18:23,5:57:03,91.8
Sílvia JácomoF25-29,BR,#1121,7,69,617,38:18:00,3:00:42,1:59:21,5:45:22,93.6
Isa GratãoF25-29,BR,#1108,4,30,392,36:09:00,2:49:32,1:52:18,5:22:37,97.4
Maria Francisca Castillo LabbeF25-29,CL,#1112,9,79,672,41:59:00,2:55:20,2:06:31,5:50:06,92.9
Thais Lopes HenriquesF25-29,BR,#1122,6,54,559,37:50:00,2:51:57,2:06:04,5:39:24,94.6
Natália SantosF25-29,BR,#1119,16,122,827,41:20:00,2:55:44,2:23:40,6:08:30,90.1
Viviane PessagnoF25-29,BR,#1123,3,27,378,36:26:00,2:42:40,1:57:44,5:21:23,97.6
Mariana Clara Loma SchutzeF25-29,BR,#1114,20,221,1122,50:29:00,3:21:58,2:55:59,7:16:41,81
Annelies CroonsF25-29,BE,#1104,12,112,802,43:30:00,3:01:09,2:14:08,6:04:28,90.7
Andressa AmaralF25-29,BR,#1103,13,113,803,48:15:00,2:54:03,2:17:14,6:04:40,90.7
Juliana Graciano De ResendeF25-29,BR,#1109,18,167,945,--:--,--:--,--:--,6:23:30,
Mariana Carrara de MoraesF25-29,BR,#1113,19,185,1009,52:22:00,3:10:15,2:28:35,6:36:07,86.2
Mayla MoraesF25-29,BR,#1116,1,16,294,38:39:00,2:41:28,1:48:51,5:12:24,99.2
Nathalia NogueiraF25-29,BR,#1120,15,119,821,53:33:00,2:56:22,2:10:33,6:07:53,90.2
Natalia SalemaF25-29,BR,#1118,5,53,557,42:15:00,2:54:54,1:54:44,5:39:03,94.7
Marcela RasuckF25-29,BR,#1110,2,22,324,38:27:00,2:53:41,1:38:54,5:15:50,98.6
Barbara Alcarde De CamposF25-29,BR,#1105,14,114,805,44:39:00,2:58:23,2:12:49,6:05:17,90.6
Dominique Vlavianos GuillaumonF25-29,BR,#1107,17,125,844,37:00:00,3:08:50,2:17:41,6:10:00,89.9
Mirelle FariasF25-29,BR,#1117,8,73,632,36:11:00,3:04:08,1:59:51,5:46:17,93.5
María Belén Sáez LagosF25-29,CL,#1111,10,94,730,41:09:00,3:01:23,2:06:26,5:55:57,92
Carla Paola Cruz CorreaF30-34,BO,#1130,8,28,379,47:24:00,2:47:09,1:39:36,5:21:26,92.8
Amanda MelloF30-34,BR,#1126,35,194,1030,48:16:00,3:16:50,2:27:42,6:41:20,80.4
Helena Mariana De FelippeF30-34,BR,#1143,33,189,1017,49:32:00,3:26:18,2:16:26,6:37:31,80.9
Heloisa Helena CustódioF30-34,BR,#1144,39,228,1135,42:24:00,3:31:33,2:57:50,7:21:55,75.3
Juliana AlbuquerqueF30-34,BR,#1149,23,115,807,42:26:00,3:01:20,2:14:43,6:05:23,85.6
Elis CarreiroF30-34,BR,#1141,40,236,1162,44:10:00,4:00:12,2:51:04,7:48:28,72.3
Alkine RissiF30-34,BR,#1125,27,144,890,50:39:00,3:05:32,2:16:07,6:16:21,83.9
Natalia HeimannF30-34,BR,#1164,11,46,509,40:23:00,2:48:31,2:01:08,5:34:33,90.5
Javiera Perez De AlbenizF30-34,CL,#1146,14,59,573,39:38:00,3:03:52,1:52:27,5:40:52,89.4
Thainá Grandinetti Gouvêa Conde IervolinoF30-34,BR,#1174,18,76,650,36:20:00,3:04:12,2:03:08,5:47:50,88.3
Larissa FabriniF30-34,BR,#1151,1,4,120,35:45:00,2:34:21,1:33:17,4:47:22,99.3
Nicole Povel Rocha MelloF30-34,BR,#1167,31,173,975,38:46:00,3:02:21,2:42:54,6:29:46,82
Tatiane OrsiF30-34,BR,#1173,16,68,614,39:10:00,2:55:41,2:02:27,5:44:59,88.8
Manuela Lereno MachadoF30-34,BR,#1152,5,20,317,35:05:00,2:48:48,1:46:30,5:15:17,93.9
Pamela Lo DucaF30-34,BR,#1168,4,17,304,37:11:00,2:37:41,1:53:32,5:13:15,94.3
Luana Sampaio Dos FreitasF30-34,BR,#898,38,225,1129,48:07:00,3:48:44,2:31:48,7:18:09,75.8
Nathalia Pereira AmorimF30-34,BR,#1166,9,37,459,31:38:00,2:52:09,1:59:54,5:28:31,91.5
Maria CabreraF30-34,BR,#1153,19,80,677,42:30:00,2:59:12,2:02:17,5:50:35,87.9
Izadora RochaF30-34,BR,#1145,26,140,880,43:49:00,2:56:51,2:29:41,6:14:52,84.1
Carolina Queiroz De Oliveira SouzaF30-34,BR,#1134,24,121,824,41:38:00,3:14:16,2:06:04,6:08:09,85.1
Marina AmorimF30-34,BR,#1158,32,175,980,46:39:00,3:28:31,2:07:26,6:30:47,81.9
Tatiana FonsecaF30-34,BR,#1172,34,192,1023,51:26:00,3:19:43,2:19:44,6:39:25,80.7
Monique RuffiF30-34,BR,#1162,21,96,741,42:42:00,2:58:07,2:06:18,5:57:01,86.8
Mariana De Pontes MatelaF30-34,BR,#1156,17,70,620,41:33:00,2:47:38,2:11:51,5:45:33,88.7
Anne Priscila PorfirioF30-34,BR,#1128,7,24,352,37:48:00,2:45:19,1:51:41,5:19:03,93.2
Juliana Rocha RodriguesF30-34,BR,#1150,30,166,943,40:44:00,3:01:08,2:34:34,6:23:20,82.9
Anaisla KoblitzF30-34,BR,#1127,22,105,770,42:59:00,3:00:17,2:11:16,5:59:51,86.4
Sarah ToupalF30-34,US,#1170,28,155,919,43:18:00,3:16:40,2:08:08,6:20:22,83.3
Denise FernandesF30-34,BR,#1140,29,163,938,42:08:00,3:09:27,2:25:16,6:22:51,83
Daniela Cristina De Oliveira BuenoF30-34,BR,#1136,36,222,1125,47:24:00,3:38:53,2:43:56,7:17:28,75.9
Fernanda Camargo FerreiraF30-34,BR,#1142,20,93,728,41:22:00,3:03:10,2:05:25,5:55:48,87
Marina JacobF30-34",BR,#1159,2,5,133,40:12:00,2:35:42,1:29:39,4:49:42,98.8
Mireia MasipF30-34",ES,#1160,3,7,158,35:06:00,2:32:34,1:42:02,4:53:39,98
Marília CesárioF30-34,BR,#1157,6,21,321,37:47:00,2:43:43,1:49:32,5:15:33,93.9
Dara BlancoF30-34,PY,#1138,25,133,863,43:15:00,3:13:03,2:09:16,6:12:16,84.5
