Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Kissy RubilarF40-44,CL,#872,24,113,760,59:16:00,3:02:26,2:05:08,6:11:21,85.8
J.Francisco LamattinaM55-59,AR,#591,35,636,745,47:58:00,3:02:30,2:14:37,6:08:58,86.1
Exequiel LiraM30-34,CL,#705,72,450,513,45:14:00,2:53:37,1:54:30,5:38:17,83.6
Emilia JulianoF25-29,AR,#122,6,40,410,37:03:00,2:56:05,1:49:50,5:27:29,92.6
Ezequiel OcampoM35-39,AR,#779,39,159,164,37:45:00,2:36:03,1:36:20,4:54:03,91.4
Daniela Constanza Ferrada FuentesF30-34",CL,#102,3,26,305,37:47:00,2:49:23,1:45:49,5:16:20,95.6
Jo FirmoM50-54,PT,#583,43,469,537,45:02:00,2:49:44,1:59:36,5:40:59,88.1
Juan BadaloniM55-59,AR,#416,30,600,696,47:28:00,3:07:19,1:57:27,6:01:57,87.2
Victor Joh HanM35-39,BR,#1127,44,179,188,34:28:00,2:34:04,1:46:25,4:58:43,90.5
Juan Pablo MaraniM40-44,AR,#1020,136,644,755,38:32:00,3:08:08,2:10:34,6:11:05,80.7
Matías CascioM25-29,AR,#484,20,207,219,35:50:00,2:44:51,1:41:06,5:05:12,90.8
Florencia RettazziniF45-49,AR,#846,40,172,928,55:50:00,3:48:04,2:23:59,7:20:17,77.7
Sebastian SucariM45-49,AR,#923,10,85,85,30:04:00,2:33:12,1:36:44,4:42:37,96.2
Federico StocchettiM40-44,AR,#163,54,239,256,37:32:00,2:42:02,1:47:03,5:09:51,90.4
Gaston BonjourM55-59,UY,#445,15,450,513,42:19:00,2:53:22,1:57:14,5:38:17,90.9
Santiago MorixeM45-49,AR,#769,15,129,130,33:23:00,2:34:33,1:38:38,4:49:15,94.8
Nicolas HollmannM40-44,AR,#658,28,149,153,35:30:00,2:43:41,1:30:35,4:52:42,93.5
Ariel Olberg RodriguezM55-59,AR,#270,22,541,625,40:24:00,3:03:51,2:01:28,5:51:22,88.8
Diego AvilésM35-39,CL,#71,57,232,249,37:48:00,2:39:46,1:47:56,5:09:20,88.5
Sebastian MellusoM35-39,UY,#746,35,137,139,38:16:00,2:23:15,1:44:25,4:50:40,92
Juan TeruyaM50-54,AR,#932,41,452,515,47:09:00,3:02:41,1:41:55,5:38:20,88.5
Alejandra PizaniF50-54,UY,#823,17,171,924,41:40:00,3:45:11,2:42:53,7:13:40,81.4
Sergio Valencia ArboledaM25-29,CO,#957,40,696,832,47:19:00,3:18:53,2:13:45,6:25:33,78.2
Cecilia RubianesF40-44,AR,#272,5,17,246,41:46:00,2:41:32,1:43:00,5:09:12,96.2
Malcolm MunozM40-44,PA,#1118,44,212,224,45:13:00,2:41:21,1:35:06,5:05:50,91.1
Carlos GalvaoM50-54",BR,#607,1,69,69,30:11:00,2:26:15,1:38:50,4:39:07,99.4
Carlos Cesar RamosM40-44,BR,#840,41,196,207,34:18:00,2:42:42,1:41:30,5:02:24,91.7
Natalia CaffaroF45-49,AR,#196,7,29,330,40:52:00,2:46:16,1:46:55,5:18:34,95.1
Daniel Horacio PeraltaM60-64,AR,#801,18,753,923,43:14:00,3:23:55,3:00:24,7:13:36,81.2
Edward FitzgeraldM50-54,IE,#585,79,740,906,48:22:00,3:16:07,2:47:28,6:58:22,77.1
Nicolás Ormeño GarcíaM35-39,AR,#253,52,210,222,36:42:00,2:48:09,1:37:10,5:05:40,89.2
Fernando SuárezM40-44,UY,#1032,118,516,595,41:54:00,3:02:48,1:55:36,5:47:24,84.1
Luis Javier PremoliM55-59,AR,#263,19,499,572,33:21:00,3:09:10,1:55:44,5:43:46,90
Gabriel Jordán CruzM45-49,CL,#675,32,244,263,39:27:00,2:38:15,1:47:30,5:10:50,90.7
Javier KarlinsM40-44,AR,#1084,106,465,531,38:35:00,2:58:35,1:56:00,5:39:49,85.3
Claudio AbadieM50-54,AR,#363,56,594,688,46:53:00,3:05:49,2:01:32,6:00:51,85
Ezequiel Carlos CarnovaleM35-39,AR,#1044,88,349,388,35:34:00,2:51:06,1:53:11,5:25:24,85.7
Frederico SchiliróM40-44,BR,#156,12,74,74,28:54:00,2:34:07,1:33:17,4:40:10,96
Damian DelassioM35-39,UY,#93,91,362,401,41:36:00,2:45:55,1:56:11,5:26:49,85.5
Gustavo YahbesM50-54,AR,#986,84,764,941,1:20:44,3:27:26,2:53:55,7:50:31,71.2
Andres ArceM30-34,UY,#1097,7,18,18,28:30:00,2:23:41,1:26:15,4:20:50,98.4
Daniela LecounaF45-49,UY,#693,30,132,822,35:15:00,3:16:26,2:24:56,6:23:10,85
Adriana Vasconcelos CoutinhoF35-39,BR,#202,14,60,487,42:18:00,2:50:17,1:57:31,5:35:22,91.2
Andres BähreM30-34,CL,#353,76,494,566,32:04:00,2:56:54,2:10:18,5:43:18,82.8
Andrés Domingo Carné CorderoM30-34,CL,#198,32,116,116,32:34:00,2:34:49,1:35:25,4:46:32,93
Consuelo Gacitua FerradaF25-29,CL,#599,12,148,866,40:45:00,3:13:12,2:38:31,6:37:44,81.9
Maria PizzoloF45-49,AR,#144,16,64,522,36:00:00,3:01:13,1:56:34,5:38:54,91.7
Leopoldo LeocurM30-34,UY,#697,44,187,196,40:05:00,2:47:37,1:27:51,4:59:59,90.3
Mariana SantosF35-39,AR,#892,32,150,869,47:30:00,3:31:30,2:08:29,6:40:35,81.5
Javier AlvarezM55-59,UY,#1124,48,717,864,42:02:00,3:16:18,2:32:31,6:37:00,82.2
Rosana ArlottiF45-49,AR,#1051,27,105,729,45:57:00,3:13:30,1:59:54,6:06:25,87.4
Mauricio De NordenflychtM30-34,CL,#528,74,488,560,41:50:00,2:53:35,2:00:23,5:42:55,82.9
Federico SchweizerM35-39,AR,#1005,32,126,127,36:36:00,2:31:08,1:38:01,4:48:49,92.4
Enrique PereiraM60-64,UY,#803,12,646,757,37:40:00,3:04:03,2:18:44,6:11:14,89.6
Agustín Gonzalez CalderonM35-39,AR,#635,87,348,387,34:01:00,3:00:22,1:45:12,5:25:19,85.7
Rodrigo BallivianM40-44,CL,#419,62,277,301,32:20:00,2:43:56,1:56:29,5:15:36,89.4
Ignacio BustosM35-39,CL,#461,29,112,112,31:47:00,2:37:41,1:34:02,4:45:53,93
Marcelo Ariel Di BenedettoM45-49,AR,#538,123,678,802,35:57:00,3:13:34,2:20:16,6:18:38,79.8
Leandro MazzoniM35-39,AR,#744,61,246,265,37:38:00,2:48:28,1:40:45,5:10:54,88.3
Ricardo Gutierrez TopeteM50-54,CL,#113,40,447,509,39:21:00,2:46:26,2:07:36,5:37:51,88.6
Marcelo VassalloM55-59,AR,#1061,51,756,927,52:42:00,3:33:44,2:38:57,7:17:55,77
Maria Valeria MooneyF45-49,AR,#348,21,87,645,34:17:00,3:11:49,2:04:02,5:53:29,89.3
Rodrigo GrasM50-54,CL,#35,7,140,142,35:10:00,2:37:58,1:35:40,4:51:03,97
Tim JohnsonM45-49,US,#673,143,746,913,50:57:00,3:23:31,2:35:50,7:01:59,74.1
Dario FerreiraM40-44,AR,#581,43,204,215,37:36:00,2:42:12,1:41:31,5:04:24,91.3
Julian EvangelistaM40-44,AR,#561,74,314,343,40:57:00,2:50:57,1:42:41,5:20:21,88.5
Leonardo MerceM40-44,AR,#47,9,67,67,34:18:00,2:27:28,1:34:30,4:38:49,96.2
Pablo BentivoglioM50-54,AR,#188,12,186,195,38:24:00,2:35:37,1:42:24,4:59:57,95.3
Pablo RodriguezM45-49,UY,#861,22,192,202,40:38:00,2:40:58,1:37:44,5:01:47,92.4
Fernando VillamarinM50-54,AR,#170,23,293,320,32:14:00,2:49:07,1:52:11,5:17:15,92.1
Javier Eduardo Falero ContiM50-54,UY,#212,53,575,664,45:00:00,3:04:33,2:01:13,5:55:42,85.8
Barry Cruces PerezM35-39,CL,#516,142,706,850,42:25:00,3:22:08,2:20:55,6:31:16,75.9
Eusebio Cristian AllendeM50-54,AR,#15,18,259,279,47:08:00,2:41:35,1:41:08,5:12:44,92.9
Andrea Della ChaM55-59,IT,#94,27,564,651,43:01:00,3:08:14,1:59:24,5:54:07,88.4
Constanza Ramirez Mac-LeanF35-39,CL,#266,18,75,578,46:07:00,2:56:29,1:58:49,5:44:33,89.7
Vicente Ortiz ElhordoyM30-34,UY,#785,77,497,569,41:20:00,3:01:21,1:55:50,5:43:40,82.8
Rodrigo AraújoM35-39,BR,#396,51,203,214,40:12:00,2:41:52,1:38:20,5:04:15,89.5
Alejandro MedeirosM40-44,UY,#1114,77,328,361,37:20:00,2:39:50,2:01:43,5:22:24,88.2
Pablo PerezM45-49,UY,#1121,69,426,485,42:45:00,2:53:11,1:54:56,5:35:02,86.5
Federico AlvarezM30-34",AR,#1078,2,4,4,28:57:00,2:22:48,1:21:08,4:15:05,99.7
Pablo VitaleM45-49,AR,#980,130,705,849,45:07:00,3:25:49,2:15:09,6:30:58,78.1
Guillermo SpinatelliM50-54,UY,#916,70,680,805,46:24:00,3:04:42,2:20:22,6:18:48,82.4
Marcelo GonzalezM45-49,UY,#1047,133,720,870,44:41:00,3:33:28,2:11:49,6:41:14,76.8
Hernan SlullitelM45-49,AR,#911,42,335,372,41:01:00,2:53:48,1:42:45,5:23:40,88.4
Mateo Bustos PecautM18-24",AR,#462,3,13,13,30:17:00,2:21:28,1:24:12,4:18:18,96.9
Pamela Carolina Rojas IbarraF25-29,CL,#271,9,102,718,44:04:00,3:08:47,2:07:48,6:05:07,86.5
Lucas Xavier LeguizamonM30-34,AR,#694,33,118,119,33:13:00,2:36:21,1:34:44,4:47:34,92.8
Manuel Lopez marullM35-39,AR,#712,84,338,376,38:05:00,2:54:22,1:48:01,5:24:16,85.9
