Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Carlos SangiorgioM55-59,BR,#987,5,224,242,42:53:00,2:43:42,1:49:18,5:24:31,93.6
William SouzaM30-34,BR,#169,4,23,24,35:38:00,2:28:58,1:23:53,4:33:40,97.9
Ruy Carmona Santos JuniorM35-39,BR,#328,61,207,221,40:08:00,3:00:16,1:34:47,5:21:33,89.1
Thiago PiresM35-39,BR,#383,35,126,134,51:17:00,2:39:57,1:29:33,5:07:16,91.6
Fabrício OliveiraM35-39,BR,#797,19,80,85,34:57:00,2:33:51,1:42:14,4:55:50,93.8
Laís Tristão AraujoF30-34,BR,#1038,22,137,828,53:44:00,3:57:19,2:49:02,7:49:13,76.9
Jairo PaivaM35-39,BR,#270,138,540,620,46:07:00,3:31:22,1:54:03,6:20:58,79.7
Jorge Henrique ArbexM45-49,BR,#1219,8,136,145,36:10:00,2:38:16,1:47:51,5:08:11,91.8
Juan CappellaM45-49,AR,#740,66,543,623,49:56:00,3:19:01,2:05:29,6:21:45,80.1
Annelies De BlauweF40-44,BE,#1141,7,48,431,1:02:34,2:48:21,1:52:11,5:52:37,95.2
Renata Baesso PeeiraF45-49,BR,#1161,6,46,417,50:38:00,3:00:09,1:49:23,5:50:04,95.6
Arthur GonçalvesM40-44,BR,#481,121,549,631,1:01:46,2:56:42,2:10:04,6:23:11,78.7
Daniel LimaM40-44,BR,#532,76,342,381,39:35:00,3:07:19,1:51:03,5:45:37,84.3
Rodolfo Dana GonçalvesM30-34,BR,#207,68,326,360,48:16:00,2:59:41,1:46:29,5:42:56,85.2
Edmar Alves MartinsM60-64",BR,#994,1,347,386,53:48:00,2:50:24,1:50:55,5:46:29,99.6
Roger HaybittleM55-59,BR,#1243,13,399,449,40:14:00,2:49:25,2:08:54,5:55:24,88.7
Nelio Santos Dias MazarakM40-44,BR,#1192,125,558,640,40:48:00,3:08:10,2:27:18,6:26:00,78.3
Anderson NaviM40-44,BR,#609,36,176,187,41:58:00,2:42:25,1:45:54,5:15:08,89.4
Oscar Luis GirotoM50-54,AR,#932,4,102,108,41:56:00,2:41:12,1:31:41,5:01:44,97.9
Alan Ricardo Pereira Da SilvaM45-49,BR,#777,84,667,795,52:24:00,3:35:07,2:30:30,7:10:16,73.9
Fernanda AmadorF35-39,BR,#1070,33,104,723,57:09:00,3:20:44,2:18:12,6:44:04,81
Cristiane BorgesF45-49,BR,#1158,7,49,445,52:57:00,3:04:05,1:48:02,5:54:13,95
Fernando VieiraM30-34,BR,#228,73,370,415,43:47:00,3:01:17,1:54:54,5:49:55,84.1
Ferreira Junior WylloM40-44,BR,#640,11,55,59,42:05:00,2:29:10,1:30:26,4:48:30,94.5
Roberto SobreiraM30-34,BR,#179,24,121,128,41:55:00,2:49:36,1:28:22,5:05:29,91.6
Sabrine Fossari Tosta BethlemF35-39,BR,#1106,4,14,220,46:51:00,2:50:26,1:38:46,5:21:21,93.7
João Luis RadichewskiM40-44,BR,#454,56,271,294,42:02:00,2:48:36,1:54:33,5:33:38,86.2
Felipe ContrerasM30-34,CL,#244,78,405,457,1:04:29,2:57:02,1:47:30,5:56:50,83.1
Francisco YrigoyenM30-34,PE,#232,108,674,805,1:02:23,3:33:58,2:27:29,7:18:30,72.3
Jose AntonioM40-44,BR,#486,134,573,662,48:44:00,3:04:53,2:26:29,6:30:00,77.8
Felipe GuedesM35-39,BR,#1198,4,21,22,30:38:00,2:26:21,1:29:51,4:31:13,98.8
Jose Roberto Ferreira JorgeM50-54,BR,#914,17,352,391,37:20:00,2:57:20,2:03:05,5:47:00,89.9
Leandro Martins De AraujoM30-34,BR,#175,96,539,618,47:50:00,3:05:51,2:18:17,6:20:08,79.7
Victor SchildtM30-34,BR,#188,70,338,376,47:14:00,3:04:09,1:43:06,5:44:34,85
Vinicius DominguesM30-34,BR,#236,20,84,89,38:23:00,2:37:53,1:36:09,4:57:32,93.1
Pablo Priore MoyanoM45-49,AR,#722,68,548,630,44:02:00,3:09:19,2:13:03,6:22:58,80
Lucas Tanganini Dos SantosM25-29,BR,#879,26,259,280,40:26:00,2:58:25,1:45:48,5:31:34,86.6
